A,b,d,u,l,l,a,h, ,S,a,e,e,d
C,l,a,s,s,i,c, ,J,e,a,n,s
L,a,r,r,y, ,K,a,r,a,s,z,e,w,s,k,i
M,a,t,t, ,F,a,r,l,e,y
H,a,l, ,S,p,a,r,k,s
C,a,r,m,e,n, ,L,y,n,c,h
R,y,a,n, ,O,',N,e,i,l,l
J,o,e, ,S,c,h,i,l,l,i,n,g
B,e,r,t, ,H,a,a,s
T,r,a,c,e,y, ,U,l,l,m,a,n
B,a,r,r,y, ,E,i,c,h,e,n,g,r,e,e,n
T,e,e, ,G,r,i,z,z,l,e,y
B,r,y,s,o,n, ,T,i,l,l,e,r
J,o,s,h,u,a, ,O,p,p,e,n,h,e,i,m,e,r
T,o,m, ,B,y,e,r,s
S,a,n,d,y, ,J,e,n
B,e,t,t,y, ,D,o,d,s,o,n
D,r,., ,S,h,e,r,m,e,r
C,h,r,i,s, ,S,h,e,l,t,o,n
S,h,e,l,d,o,n, ,W,h,i,t,e,h,o,u,s,e
R,i,c,k, ,R,a,m,o,s
Q,u,e,e,n, ,L,a,t,i,f,a,h
S,e,a,n, ,P,r,o,u,d,l,o,v,e
J,o,s,h, ,T,e,m,p,l,e
G,r,e,g,',s, ,h,y,p,e,r, ,d,o,g
H,u,g,h, ,H,o,w,e,y
N,a,y,a, ,R,i,v,e,r,a
H,o,w, ,I, ,B,u,i,l,t, ,T,h,i,s
A,n,u,v,a,b, ,P,a,l
J,a,y,d,e,n, ,C,o,l,e
C,o,r,i,n, ,N,e,m,e,c
T,r,a,v,i,s, ,C,o,l,e,s
D,a,v,i,d, ,"""",Y,a,r,v,o,"""", ,Y,a,r,o,v,e,s,k,y
C,h,r,i,s, ,M,a,r,t,i,n
T,o,r,r,e,y, ,S,m,i,t,h
M,i,r,e,i,l,l,e, ,E,n,o,s
R,o,j,o, ,P,e,r,e,z
S,i,m, ,S,a,r,n,a
P,e,t,e, ,J,o,h,a,n,n,s,o,n
M,e,a,n,w,h,i,l,e
J,o,n, ,W,u,r,s,t,e,r
H,a,l,l,o,w,e,e,n
C,h,a,d, ,C,a,l,e,k
J,-,L,o,g,i,c
N,i,c,o,l,e, ,B,o,y,c,e
S,l,e,a,t,e,r,-,K,i,n,n,e,y
I,r,a, ,I,s,r,a,e,l
S,p,e,n,c,e,r, ,P,r,a,t,t
T,o,m, ,W,i,l,s,o,n
R,i,c,k, ,W,a,l,l,a,c,e
E,v,a,n,n,a, ,L,y,n,c,h
T,o,m, ,H,i,l,l
S,a,m, ,S,t,e,i,n
D,r,., ,D,e,a,n, ,E,d,e,l,l,., ,D,r,., ,E,d,e,l,l
J,e,s,s,i,c,a, ,G,a,o
A,h,i,r, ,S,h,a,h
H,a,r,r,y, ,L,e,n,n,i,x
J,o,y,e,l,l,e, ,J,o,h,n,s,o,n
L,a,r,r,y, ,F,e,s,s,e,n,d,e,n
B,u,d, ,B,r,u,t,s,m,a,n
J,e,n,n,i,f,e,r, ,M,o,r,r,i,s,o,n
J,o,s,e,p,h, ,B,e,n,a,v,i,d,e,z
S,e,a,n, ,D,e,v,l,i,n
D,a,n, ,A,b,r,a,m,s
A,a,r,o,n, ,E,c,k,h,a,r,t
A,s,k, ,A, ,N,i,n,j,a,',s, ,K,e,n,t, ,N,i,c,h,o,l,s
L,a,n,c,e, ,W,e,i,s,s
D,a,v,i,d, ,A,x,e,l,r,o,d
S,t,e,r,l,i,n,g, ,K,., ,B,r,o,w,n
B,r,a,n,d,o,n, ,W,e,b,b
L,i,s,a, ,A,n,n
R,a,b,b,i, ,D,r, ,J,o,n,a,t,h,a,n, ,R,o,m,a,i,n
M,i,c,h,a,e,l, ,S,h,e,r,m,e,r
C,a,r,l,a, ,G,u,g,i,n,o
S,k,i,n,c,a,r,e,:
A,p,o,o,r,v,a, ,M,e,h,t,a
E,r,i,k, ,H,o,f,f,s,t,a,d
J,u,d,y, ,E,s,t,r,i,n
A,d,v,e,n,t,u,r,e,s, ,o,f, ,J,u,s,t,i,n
S,a,r,g,o,n, ,o,f, ,A,k,k,a,d
M,a,g,n,u,s, ,S,u,l,l,i,v,a,n
B,a,r,a,t,u,n,d,e, ,T,h,u,r,s,t,o,n
C,u,p,c,a,k,K,e
G,r,e,a,t,e,s,t, ,H,i,t,s
C,h,r,i,s, ,G,o,r,e
G,a,v,i,n, ,d,e, ,B,e,c,k,e,r
I,a,n, ,A,y,r,e,s
S,t,e,p,h,e,n, ,G,l,i,c,k,m,a,n
H,i,g,h, ,P,e,r,f,o,r,m,a,n,c,e, ,H,e,a,l,t,h, ,C,o,a,c,h
T,r,e,v,o,r, ,T,h,o,r,p,e
C,o,l,., ,J,a,c,k, ,J,a,c,o,b,s
M,a,t,t, ,D,i,f,f,e,e
G,e,n,e,v,i,e,v,e, ,W,o,o,d
M,a,r,i,e, ,K,o,n,d,o
T,h,o,m,a,s, ,M,i,d,d,l,e,d,i,t,c,h
T,i,m,o,t,h,y, ,S,h,o,w,a,l,t,e,r
D,o,d,i,e, ,C,l,a,r,k
R,o,b, ,R,e,i,c,h
A,l,i,s,t,e,r, ,M,c,G,r,a,t,h
P,r,o,f, ,S,o,p,h,i,e, ,S,c,o,t,t
J,o,e, ,K,e,e,r,y
J,a,m,e,s, ,G,u,n,n
R,o,b, ,M,c,E,l,h,e,n,n,e,y
T,i,f,f,a,n,y, ,S,m,i,t,h
J,e,m,a,r, ,T,i,s,b,y
C,h,r,i,s,t,o,p,h,e,r, ,H,i,t,c,h,e,n,s
J,a,m,i,e, ,L,e,e
M,e,r,c,e,d,e,s, ,Y,v,e,t,t,e
D,a,i,s,y, ,R,i,d,l,e,y
M,o,o,g,s,t,a,r
S,u,p,e,r,e,g,o,',s, ,M,a,t,t, ,G,o,u,r,l,e,y
R,e,n,e,e, ,C,o,l,v,e,r,t
T,J, ,C,h,a,m,b,e,r,s
P,e,t,e,r, ,D,u,e,s,b,e,r,g
A,p,r,i,l, ,M,o,u,t,o,n
L,a,w,r,e,n,c,e, ,W,r,i,g,h,t
L,i,n,k
O,w,e,n, ,B,e,n,j,a,m,i,n
C,h,r,i,s,t,i,n,a, ,M,i,l,i,a,n
S,o,n,y,a, ,L,e,a
G,e,o,f,f, ,H,a,g,g,e,r,t,y
P,e,r,e, ,E,s,t,u,p,i,n,y,a
S,i,m,o,n, ,R,i,c,h
R,a,j, ,S,i,v,a,r,a,m,a,n
J,a,s,o,n, ,C,a,l,a,c,a,n,i,s
P,a,u,l, ,B,u,c,h,h,e,i,t
D,a,r,y,l, ,M,o,r,e,y
D,e,r,r,i,c,k, ,B,r,o,w,n
M,a,r,k, ,B,o,w,d,e,n
M,i,c,h,a,e,l,a, ,W,a,t,k,i,n,s
m,y, ,n,e,p,h,e,w, ,o,n, ,h,i,s, ,B,a,r, ,M,i,t,z,v,a,h
B,i,l,l, ,P,e,t,t,y
N,a,t,a,l,i,e, ,P,o,r,t,m,a,n
T,e,r,r,e,l,l, ,O,w,e,n,s
R,o,g,e,r, ,M,c,N,a,m,e,e
J,o,h,n, ,C,r,i,s,t
S,r,i,n,i, ,P,i,l,l,a,y
M,a,r,i,e,l, ,H,e,m,i,n,g,w,a,y
G,r,i,f,f,i,n, ,D,u,n,n,e
M,e,t,r,o, ,B,o,o,m,i,n
S,t,e,v,e, ,M,e,y,e,r
J,a,y, ,R,e,f,l,e,c,t, ,o,n, ,2,0,1,6
J,o,e,l, ,R,o,b,i,n,s,o,n
W,i,l,l,y
A,s,t,r,o, , ,T,e,l,l,e,r
K,e,n,t,o,n, ,C,a,r,r,u,t,h
D,e,b,o,r,a,h, ,H,o,p,k,i,n,s
D,a,n, ,B,a,r,k,e,r
A,l,i,s,o,n, ,L,e,i,b,y
K,e,v,i,n, ,N,e,a,l,o,n
E,m,m,a, ,R,o,b,e,r,t,s
S,a,r,a,h, ,B,u,r,n,s
G,r,e,g,g, ,C,a,r,u,s,o
R,e,b,e,c,c,a, ,L,y,n,n
D,e,a,n
R,i,f,f,t,r,a,x
J,o,d,i, ,M,i,l,l,e,r
N,i,n,a, ,R,o,t,h
C,h,a,r,l,i,e, ,K,i,r,k
A,l,b,e,r,t,o, ,G,a,l,l,a,z,z,i
W,i,l,l, ,M,a,c,A,s,k,i,l,l
P,a,t, ,F,r,a,n,c,i,s
D,J, ,E,A,D,u,b,b,z
J,a,c,k,i,e, ,K,a,s,h,i,a,n
J,a,m,e,s, ,C,o,s,m,o
L,u,c, ,B,e,s,s,o,n
I,n,s,t,a,g,r,a,m,m,i,n,g, ,M,a,t,t
R,o,b,e,r,t, ,B,l,a,s,k,i,e,w,i,c,z
B,r,i,a,n, ,D,u,n,n,i,n,g
M,i,c,h,a,e,l, ,K, ,W,i,l,l,i,a,m,s
A,b,b,i, ,C,r,u,t,c,h,f,i,e,l,d
R,e,g,g,i,e, ,R,a,y
M,i,c,h,a,e,l, ,M,o,y,n,i,h,a,n
T,h,e, ,A,c,t,i,o,n, ,B,o,y,z
D,r,., ,W,i,l,l,i,a,m, ,D,a,v,i,s
A,n,t,h,o,n,y, ,P,e,t,t,i,s
B,i,l,l, ,H,a,d,e,r
F,m,r,., ,R,e,p,., ,B,a,r,n,e,y, ,F,r,a,n,k
W,a,y,n,e, ,R,a,d,a
P,a,o,l,o, ,U,g,g,e,t,t,i
L,i,n,d,a, ,C,h,a,v,e,z
L,i,s,a, ,M,o,n,a,c,o
C,o,l,i,n, ,F,i,r,t,h
D,a,v,i,d, ,E,a,g,l,e,m,a,n
J,o,s,h, ,G,a,d
F,l,a,v,o,n,o,i,d,s
J,e,f,f, ,R,o,h,r,e,r
H,i,l,a,r,y, ,R,o,s,e,n
A,s,h,l,y, ,B,u,r,c,h
T,o,m, ,H,a,n,k,s
H,a,n,n,a, ,R,o,s,i,n
P,a,u,l, ,J,a,m,e,s
D,r,., ,D,a,n, ,S,i,e,g,e,l
S,k,e,t,c,h,f,e,s,t, ,2,0,1,6
J,o,d,i, ,M,i,t,i,c
G,i,a,n, ,V,i,l,l,a,n,t,e
A,v,i, ,L,o,e,b
T,o,m, ,K,e,l,l,e,y
K,a,r,e,n, ,K,o,r,e,n
T,h,e, ,N,a,t,i,o,n,a,l
B,r,i,a,n, ,M,o,s,e,s
B,r,a,d,y, ,M,a,t,t,h,e,w,s
B,o,b,b,y, ,C,a,n,n,a,v,a,l,e
K,a,t,i,e, ,P,a,c,k,e,r
S,u,s,a,n, ,S,a,r,a,n,d,o,n
D,r,., ,I,a,n, ,K,e,r,n,e,r
T,a,r,e,k, ,F,a,t,a,h
M,a,t,t, ,D,a,m,o,n
D,e,n,i,s, ,L,e,a,r,y
B,e,t,h,a,n,y, ,C,o,s,e,n,t,i,n,o
Z,e,r,o, ,C,h,a,r,i,s,m,a
S,u,s,a,n, ,F,e,l,d,m,a,n
J,i,n,k,x, ,M,o,n,s,o,o,n
U,g,o, ,N,o,n,i,s
J,a,c,k
M,o,b,y
J,i,m,m,y, ,C,a,r,r
M,a,r,k, ,S,c,h,i,f,f
G,a,b,o,r, ,M,a,t,e
A,i,k,o, ,T,a,n,a,k,a
A,l,a,n, ,S,m,i,t,h,e,e, ,F,i,l,m,s
B,.,J,., ,N,o,v,a,k
T,r,a,c,y, ,Y,o,u,n,g
J,D, ,R,y,z,n,a,r
J,a, ,R,u,l,e
E,v,e,r, ,M,a,i,n,a,r,d
C,h,r,i,s, ,H,a,r,d,w,i,c,k
D,r,., ,J,e,f,f, ,M,e,l,d,r,u,m
M,e,r,o
B,l,a,k,e, ,W,e,x,l,e,r
J,a,d,e, ,C,a,t,t,a,-,P,r,e,t,t,a
J,e,n,n, ,W,a,s,n,e,r
F,e,e,l, ,Y,o,u,r, ,H,e,a,r,t
M,a,r,i,a, ,B,a,m,f,o,r,d
D,a,v,i,d, ,B,e,c,k,i,n,g,h,a,m
W,e,n,d,y, ,S,u,z,u,k,i
T,h,e,o, ,E,p,s,t,e,i,n
E,u,g,e,n,e, ,C,o,r,d,e,r,o
B,r,o,o,k,l,y,n,',S, ,S,m,a,l,l,e,s,t
K,e,l,v,i,n, ,G,a,s,t,e,l,u,m
P,a,t,r,i,c,k, ,K,e,a,n,e
C,M, ,P,u,n,k
P,i,c,o, ,I,y,e,r
E,l,i,s,e, ,N,e,a,l
C,h,r,i,s, ,R,a,y, ,G,u,n
R,O,M,A, ,2,A
E,l,i, ,S,a,y,e,r,s
T,o,n,y, ,B,l,i,n,k,e,n
A,n,d,y, ,P,u,d,d,i,c,o,m,b,e
A,d,a,m, ,C,a,y,t,o,n,-,H,o,l,l,a,n,d
N,i,k,k,i, ,L,y,n,n, ,K,a,t,t
D,r,., ,J,o,e,l, ,C,r,a,n,d,a,l,l
C,a,s,t,l,e,r,o,c,k, ,K,e,n,n,y
J,i,l,l
R,o,b, ,G,r,e,e,n,f,i,e,l,d
J,o,e, ,M,a,n,g,a,n,i,e,l,l,o
J,a,r,r,e,t,t, ,S,l,e,e,p,e,r
L,a,n,c,e, ,B,a,n,g,s
B,e,t,s,y, ,C,h,a,s,s,e
D,a,v,i,d, ,B,r,a,n,c,h
O,G, ,M,a,c,o
G,r,e,g, ,F,l,u,h,r,e,r
J,e,f,f, ,L,e,a,c,h
P,o,r,t,i,a, ,S,a,b,i,n
J,a,r,e,d
L,i,s,a, ,L,i,l,l,i,e,n
D,r,., ,I,z,a,b,e,l,l,a, ,W,e,n,t,z
A,a,r,o,n, ,T,a,y,l,o,r,-,J,o,h,n,s,o,n
M,e,l,a,n,i,e, ,M,a,r,a,s
H,o,m,e,l,e,s,s, ,M,a,n
H,o,u,s,t,o,n, ,R,o,c,k,e,t,s, ,f,o,r,w,a,r,d, ,C,o,r,e,y, ,B,r,e,w,e,r
I,n,t,r,o,d,u,c,t,i,o,n
C,o,l,i,n, ,H,o,l,b,r,o,o,k
G,a,b,e, ,N,e,w,e,l,l
B,r,e,n,d,a,n, ,S,c,h,a,u,b
G,r,a,h,a,m, ,L,i,n,e,h,a,n
F,o,r,e,s,t, ,W,h,i,t,a,k,e,r
E,r,i,c, ,W,e,d,d,l,e
J,e,f,f, ,A,r,c,u,r,i
D,r,., ,C,a,r,l, ,H,a,r,t
T,h,e, ,S,k,l,a,r, ,B,r,o,t,h,e,r,s
H,e,a,t,h,e,r, ,F,l,a,n,d,e,r,s
R,o,l,a,n,d, ,C,a,m,p,o,s
S,c,o,t,t, , ,C,o,o,k
J,o,e, ,S,a,u,n,d,e,r,s
S,a,m,u,e,l, ,A,r,b,e,s,m,a,n
J,o,e, ,E,p,i,s,o,d,e, ,2
J,o,h,n, ,C,a,p,a,r,u,l,o
J,u,s,t,i,n, ,W,e,i,n,s,t,e,i,n
B,r,i,e, ,L,a,r,s,o,n
K,r,i,s,t,i,a,n, ,B,r,u,u,n
S,t,e,v,e, ,K,o,t,l,e,r
M,a,y,a, ,W,i,l,e,y
K,i,m,b,e,r,l,y, ,W,y,a,t,t
D,a,n, ,H,a,m,e,r,m,e,s,h
E,l,i,z,a, ,S,k,i,n,n,e,r
T,y,s,o,n, ,P,e,d,r,o
B,i,l,l,y, ,O,',C,o,n,n,o,r
D,r,., ,J,a,c,k,i,e, ,W,a,l,t,e,r,s
J,o,h,n,n,y, ,W,o,o,d,a,r,d, ,o,n, ,s,t,a,t,s
D,a,v,i,d, ,B,r,o,n,n,e,r
J,o,e, ,K,w,a,c,z,a,l,a
J,e,f,f,r,e,y, ,R,o,g,e,r,s, ,H,u,m,m,e,l
N,i,c,o,l,e, ,P,a,s,s,m,o,r,e
A,n,d,r,e,w, ,T,i,s,h,e,r
M,a,l,i,t,h
D,e,b,r,a, ,B,e,r,g,e,r
F,a,i,t,h, ,E,v,a,n,s
G,i,l, ,O,z,e,r,i
G,e,o,f,f, ,Y,a,n,g
M,i,k,e, ,B,r,i,d,e,n,s,t,i,n,e
F,o,s,t,e,r, ,O,l,i,v,e
K,e,n, ,T,r,e,m,b,l,e,t,t
M,e,e,t, ,M,i,d,n,i,g,h,t, ,S,p,e,c,i,a,l,',s, ,J,e,f,f, ,N,i,c,h,o,l,s
E,c,h,o, ,C,h,a,r,l,e,s
T,r,i,s,t,a,n, ,W,a,l,k,e,r
K,a,t,e, ,S,c,h,a,t,z
C,h,a,r,l,i,e, ,T,o,d,d
B,r,a,d, ,W,i,l,l,i,a,m,s
P,a,u,l, ,C,h,o,w,d,h,r,y
C,o,m,i,c, ,P,a,t,r,i,o,t
R,i,d,e,r, ,S,t,r,o,n,g
S,c,o,t,t, ,L,i,l,i,e,n,f,e,l,d
N,B,A, ,c,o,n,f,i,d,a,n,t, ,C,a,r,l, ,L,e,n,t,z
B,a,r,a,t,u,n,d,e
C,r,i,p,p,l,e,d, ,C,r,o,w,d,e,r
D,a,l,e, ,D,u,d,l,e,y
D,o,n,a,l,d, ,',C,o,w,b,o,y,', ,C,e,r,r,o,n,e
T,o,m, ,S,i,e,b,e,l
M,e,l,i,s,s,a, ,J,o,a,n, ,H,a,r,t
C,a,r,o,l, ,T,a,v,r,i,s
A,m,a,n,d,a, ,S,a,g,e
B,a,r,b,a,r,a, ,B,o,n,n,e,r
D,o,n, ,B,a,r,r,i,s
H,o,w, ,T,o, ,W,o,r,k, ,A, ,R,o,o,m
I,a,n, ,L,a,w,t,o,n
D,o,u,g, ,S,t,a,n,h,o,p,e
D,a,n, ,L,i,p,p,e,r,t
S,u,z,a,n,n,e, ,S,o,m,e,r,s
S,t,e,p,h,e,n, ,H,i,l,l
C,a,i,t,l,i,n, ,F,l,a,n,a,g,a
M,a,t,t, ,R,e,e,v,e,s
M,o,r,g,a,n, ,W,a,r,d
N,i,c,k, ,K,r,o,l,l
S,a,r,a,h, ,T,o,l,l,e,m,a,c,h,e
E,r,i,c, ,T,h,o,m,a,s
T,i,n,i, ,H,o,w,a,r,d
K,o,r,y, ,S,t,a,m,p,e,r
J,o,s,h, ,G,a,r,d,n,e,r
C,h,i,n,o, ,X,l
J,o,h,n, ,B,r,e,n,k,u,s
T,r,i,p,p, ,L,a,n,i,e,r
R,e,i,h,a,n, ,S,a,l,a,m
R,o,b, ,M,a,c,c,a,c,h,r,e,n
W,e,a,l,t,h
C,a,m,p,b,e,l,l, ,H,a,r,v,e,y
R,a,m,i,n, ,N,a,z,e,r
E,n,e,r,g,y
S,h,a,r,y,l, ,A,t,t,k,i,s,s,o,n
J,a,m,a,l,i, ,M,a,d,d,i,x
G,r,e,g, ,P,o,m,e,r,a,n,t,z
o,u,r, ,f,a,v,o,r,i,t,e, ,J,a,m,i,e, ,L,o,f,t,u,s
A,n,d,r,e,s, ,d,u, ,B,o,u,c,h,e,t
M,a,t,t, ,M,i,r,a
T,o,v,a,r, ,C,e,r,u,l,l,i
J,o,s,h, ,A,d,a,m, ,M,e,y,e,r,s
H,o,w,a,r,d, ,G,a,r,d,n,e,r
G,o, ,F,a,r,t,h,e,r, ,T,o,g,e,t,h,e,r
J,a,s,o,n, ,T,h,i,b,a,u,l,t
C,a,t,h,y, ,Y,o,u,n,g
B,r,i,t,t, ,H,e,r,m,e,s
L,i,t,t,l,e, ,E,s,t,h,e,r
M,a,r,k
S,c,a,r,l,e,t,t, ,J,o,h,a,n,s,s,o,n
J,u,s,t,i,n, ,W,i,l,l,m,a,n
B,e,v,y, ,S,m,i,t,h
G,r,e,g, ,H,a,h,n
S,t,e,v,e, ,C,a,r,e,l,l
E,l,a,n,o,r, ,K,e,r,r,i,g,a,n
L,e,n,n,y, ,K,r,a,v,i,t,z
M,i,t,c,h, ,L,a,n,d,r,i,e,u
F,r,a,n,k, ,L,u,n,t,z
J,e,n,n,y, ,B,l,a,k,e
O,n,e, ,D,a,y, ,a,t, ,a, ,T,i,m,e
A,d,a,m, ,S,c,o,t,t
P,h,i,l, ,P,r,o,c,t,o,r
N,i,k,k,i, ,Z,i,e,r,i,n,g
N,i,c,k, ,D,i,P,a,o,l,o
C,h,r,i,s,t,i,n,e, ,E,x,l,e,y
M,i,k,e, ,',M,i,t,c,h,', ,M,i,t,c,h,e,l,l
J,i,m, ,H,a,m,i,l,t,o,n
C,a,r,m,e,n, ,A,n,g,e,l,i,c,a
M,a,n,o,l,o, ,R,o,s,e
N,e,N,e, ,L,e,a,k,e,s
A,l,l,i,e, ,W,a,d,d,e,l,l
T, ,M, ,Z
A,l,e,x, ,K,e,a,l,y
Z,o,ë, ,T,e,r,s,c,h,e
M,a,z, ,J,o,b,r,a,n,i
M,i,k,e, ,T,u,l,l,y
P,r,o,f,s,., ,H,o,l,l,y, ,R,i,c,h,a,r,d,s,o,n
C,h,r,i,s, ,B,e,n,n,e,t,t
A,n,d,r,e,w, ,G,o,l,d,s,t,e,i,n
J,o,n,a,t,h,a,n, ,A,m,e,s
B,J, ,T,h,e, ,C,h,i,c,a,g,o, ,K,i,d
D,r,., ,D,a,v,i,d, ,L,u,d,w,i,g
N,i,c,k, ,L,a,v,a,l,l,e,e
B,r,a,d, ,P,i,l,o,n
L,o,s, ,A,n,g,e,l,e,s
A,u,s,t,r,a,l,i,a
C,h,r,i,s,t,i,n,a, ,P,a,z,s,i,t,z,k,y
A,n,d,r,e,w, ,W,e,i,l
J,a,i,m,e, ,K,i,l,s,t,e,i,n
B,r,y,c,e, ,D,a,l,l,a,s, ,H,o,w,a,r,d
M,e,g,a,n, ,G,a,i,l,e,y
F,r,o,m, ,T,h,e, ,N,e,w, ,P,o,r,n,o,g,r,a,p,h,e,r,s, ,i,t,',s, ,A,C, ,N,e,w,m,a,n,!
S,t,e,v,e,n, ,L,i,p,s,t,e,i,n
H,a,n,d,l,i,n,g, ,H,o,l,i,d,a,y, ,S,t,r,e,s,s
W,i,n,i,f,r,e,d, ,H,e,r,v,e,y
K,a,n,e, ,W,a,s,e,l,e,n,c,h,u,k
M,i,s,t,r,e,s,s, ,M,a,t,i,s,s,e
R,o,b,b,i,e, ,G,o,o,d,w,i,n
M,i,k,e, ,S,c,h,r,a,n,t,z
M,i,c,k, ,G,a,r,r,i,s
G,i,n,a, ,Y,a,s,h,e,r,e
W,h,o,o,p,i, ,G,o,l,d,b,e,r,g
J,u,n,i,o,r, ,S,i,m,p,s,o,n
M,a,y,a, ,D,e,s,h,m,u,k,h
A,l,i,c,e, ,D,r,e,g,e,r
B,i,l,l, ,C,l,i,n,t,o,n
J,a,s,o,n, ,M,a,y,h,e,m, ,M,i,l,l,e,r
P,a,t,r,i,c,k, ,C,a,s,s,e,l,s
D,a,n,i,e,l, ,R,u,g,g, ,W,e,b,b
J,e,a,n, ,T,w,e,n,g,e
E,l,i,f, ,B,a,t,u,m,a,n
S,t,e,v,e,n, ,K,o,t,l,e,r
S,e,t,h, ,H,e,r,z,o,g
A,r,c,a,d,e, ,F,i,r,e, ,f,r,o,n,t,m,a,n, ,W,i,n, ,B,u,t,l,e,r
C,r,o,s,b,y, ,T,a,i,l,o,r
L,i,a,m, ,L,y,n,c,h
M,i,r,a, ,S,o,r,v,i,n,o
E,r,i,c, ,R,i,p,e,r,t
C,h,r,i,s,t,i,n,a, ,H,o,f,f, ,S,o,m,m,e,r,s
C,a,r,l, ,',T,h,e, ,M,a,d, ,C,u,b,a,n,', ,R,u,i,z
C,a,r,l,o,s, ,P,e,r,e,a
M,i,c,h,a,e,l, ,S,k,o,l,n,i,k
O,a,t,e,s
C,a,r,l, ,H,i,a,a,s,e,n
M,i,c,h,a,e,l, ,T,u,r,c,h,i,n
J,e,e,z,y
G,i,l,b,e,r,t, ,K,i,n,g
M,i,k,e, ,A,b,r,u,s,c,i
M,a,r,k, ,C,h,e,n,g
B,r,e,n,d,a,n, ,M,o,y,n,i,h,a,n
L,i,v, ,L,a,n,g,d,o,n
K,e,l,l,y, ,B,i,n,g,a,m,a,n
A,n,d,e,r,s, ,E,r,i,c,s,s,o,n
D,a,v,i,d, ,R,o,s,e
E,d,d,i,e, ,R,e,d,m,a,y,n,e
H,o,l,l,i
E,m,i,l,y, ,B,e,s,t
t,h,e, ,g,o,d,f,a,t,h,e,r
R,i,c,h,a,r,d, ,M,c,K,e,n,z,i,e
C,h,r,i,s, ,H,a,c,k,e,t,t
C,a,k,e
T,a,m,e,r, ,K,a,t,t,a,n
T,h,o,m,a,s, ,G,o,e,t,z
E,b,o,n,i, ,K,., ,W,i,l,l,i,a,m,s
S,t,a,n, ,L,e,e
C,h,r,i,s, ,G,r,o,s,s,o
R,i,t,a, ,D,o,v,e
K,a,r,a, ,S,w,i,s,h,e,r
S,u,p,e,r, ,R,e,l,a,t,a,b,l,e
A,n,n,a, ,S,e,r,e,g,i,n,a
B,o,n,u,s,:, ,T,a,v,i, ,G,e,v,i,n,s,o,n
J,o,h,n, ,D,e,h,l,i,n
B,r,e,a, ,G,r,a,n,t
J,o,h,n, ,W,e,a,v,e,r
N,i,c,h,o,l,a,s, ,P,h,i,l,l,i,p,s,o,n
N,i,c,o,l,e, ,M,a,z,z,e,o
W,e,n,d,i, ,M,c,L,e,n,d,o,n,-,C,o,v,e,y
D,a,n,i,e,l,l,a, ,P,a,l,l,y
M,i,c,h,a,e,l, ,G,o,l,d,b,e,r,g
M,a,n,i,k,a, ,W,a,r,d
D,o,n, ,F,a,n,e,l,l,i
D,a,v,i,d, ,M,a,m,e,t
P,o,s,i,t,i,v,e, ,L,i,f,e
S,a,m, ,B,r,o,w,n
J,o,e,l, ,S,o,l,o,m,o,n
P,a,u,l, ,R,u,s,t
L,i,z,z,o
C,a,t, ,Z,i,n,g,a,n,o
S,u,m,m,e,r, ,A,s,h
T,e,r,e,r,a,i, ,T,r,e,n,t
B,o,b, ,N,y,g,a,a,r,d
C,o,n,a,n, ,O,',B,r,i,e,n
D,a,v,i,d, ,G,b,o,r,i,e
A,m,o,s, ,Y,e,e
C,r,e,i,g,h,t,o,n, ,B,a,i,r,d
A,n,d,y, ,D,e,a,n
S,u,s,a,n, ,E,., ,R,i,c,e
S,i,n,a, ,G,r,a,c,e
M,a,t,t,h,e,w, ,P,a,n,z,a,r,i,n,o
M,a,t,t,h,e,w, ,L,o,v,e
M,i,k,e, ,P,o,s,n,e,r
W,o,o,d, ,H,a,r,r,i,s
Y,v,e,t,t,e, ,N,i,c,o,l,e, ,B,r,o,w,n
J,a,s,o,n, ,Z,w,e,i,g
B,r,i,a,n, ,R,o,s,e
K,a,t,i,e, ,N,o,t,o,p,o,u,l,o,s
B,l,a,c, ,Y,o,u,n,g,s,t,a
S,t,e,v,e, ,W,e,s,t,l,y
B,e,r,n,i,e, ,S,a,n,d,e,r,s
F,r,a,n,c,i,s,c,o, ,R,a,m,o,s
J,o,e, ,M,c,C,r,a,c,k,e,n
B,r,a,d, ,G,u,s,h,u,e
J,a,y
L,a,n,g,s,t,o,n, ,K,e,r,m,a,n
R,o,n, ,H,o,w,a,r,d
H,e,c,t,o,r, ,A,v,e,l,l,a,n,e,d,a
C,h,r,i,s, ,H,a,u,s,e,l,t
M,a,g,g,i,e, ,R,o,w,e
D,a,n, ,H,o,f,s,t,a,d,t,e,r
S,e,a,n, ,C,a,r,r,o,l,l
R,O,M,A, ,5
D,a,v,i,d, ,S,i,r,o,t,a
T,r,a,i,n, ,Y,o,u,r, ,B,r,a,i,n
D,a,v,e, ,C,o,u,l,i,e,r
B,e,t,h, ,J,o,y, ,P,a,p,a,l,e,o
S,a,r,a,h, ,E,v,a,n,s
J,r,.
W,a,l,t,e,r, ,I,s,a,a,c,s,o,n
B,r,i,a,n, ,M,i,c,h,a,e,l, ,B,e,n,d,i,s
Y,o,u, ,H,a,v,e, ,N,o, ,L,i,m,i,t,s
A,l,e,x, ,A,l,d,e,a
B,r,e,t,t, ,H,a,l,e,y
A,t,h,e,n,a, ,A,k,t,i,p,i,s
K,a,t,y, ,T,u,r
F,a,r,a,h, ,B,r,o,o,k
C,h,r,i,s,t,i,n,e, ,N,a,n,g,l,e
